Name,Category,Severity,Resource Display Name,Resource Path,Resource Type
organizations/742653001909/sources/3344967813459848552/locations/global/findings/1fd2dcfdc80e88480f3dccf694666d98,CUSTOM_ROLE_NOT_MONITORED,4,482298122994,//cloudresourcemanager.googleapis.com/projects/482298122994,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/204a4de53c5e33beec5a098de20632a5,AUDIT_LOGGING_DISABLED,4,751615041559,//cloudresourcemanager.googleapis.com/projects/751615041559,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/21efb7fd81abdfe6d9e31dd3265ad26c,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/ssc-project-999/regions/us-east4/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/235707f11afaa119c9aae3274fb6604f,OPEN_SSH_PORT,2,allow-any-traffic,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/allow-any-traffic,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/241d7fa44e7f729ef7a5b49851643a44,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/europe-west6/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/248bebe3792faa717ba6e0dad1f8ecbc,COMPUTE_SECURE_BOOT_DISABLED,3,lb-mig-2214,//compute.googleapis.com/projects/load-balancer-service-project/zones/us-central1-c/instances/lb-mig-2214,GCE Instance
organizations/742653001909/sources/3344967813459848552/locations/global/findings/256f7d7ec2e38014f4873d47f272a604,FLOW_LOGS_DISABLED,4,default,//compute.googleapis.com/projects/load-balancer-host-project/regions/asia-south1/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/267659c00da438fc52101e41b5cf2823,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/asia-northeast2/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/26aa44b37667ff36a1452353f0bd133b,AUDIT_LOGGING_DISABLED,4,1056245351413,//cloudresourcemanager.googleapis.com/projects/1056245351413,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/26b7f90a005bef9d5fd131f927147fe0,PRIVATE_GOOGLE_ACCESS_DISABLED,4,default,//compute.googleapis.com/projects/agentic-9999/regions/europe-west12/subnetworks/default,Project
organizations/742653001909/sources/3344967813459848552/locations/global/findings/27e1b069faac79bf72d118260cc78eac,OPEN_DNS_PORT,2,anywhere,//compute.googleapis.com/projects/load-balancer-host-project/global/firewalls/anywhere,Project
